"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2020","1,754.20","1,781.70","1,781.85","1,746.88","65.74M","-1.82%"
"Aug 13, 2020","1,786.80","1,780.20","1,795.80","1,779.79","50.59M","-0.12%"
"Aug 12, 2020","1,788.99","1,782.51","1,790.92","1,773.15","65.69M","0.15%"
"Aug 11, 2020","1,786.28","1,760.64","1,792.83","1,760.64","81.97M","2.14%"
"Aug 10, 2020","1,748.91","1,750.01","1,754.99","1,740.20","52.77M","0.49%"
