"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2020","37,877.34","38,432.94","38,540.57","37,654.92","18.63M","-1.13%"
"Aug 13, 2020","38,310.49","38,456.64","38,516.85","38,215.05","15.39M","-0.15%"
"Aug 12, 2020","38,369.63","38,321.13","38,414.37","38,125.81","25.32M","-0.10%"
"Aug 11, 2020","38,407.01","38,371.34","38,556.27","38,313.06","18.73M","0.59%"
"Aug 10, 2020","38,182.08","38,167.27","38,429.84","38,075.79","17.23K","0.37%"
