Date,Price,Open,High,Low,Vol,Change
14-Aug-20,"15,399.73","15,184.92","15,418.05","15,118.25",-,1.41%
13-Aug-20,"15,184.92","15,245.61","15,328.01","15,152.31",-,-0.40%
12-Aug-20,"15,245.61","15,261.96","15,302.44","15,026.98",-,-0.11%
11-Aug-20,"15,261.96","15,290.13","15,567.61","15,241.92",-,-0.18%
10-Aug-20,"15,290.13","15,199.34","15,385.65","15,023.53",-,0.60%
