"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2020","3,360.10","3,315.67","3,362.03","3,302.74","30.60B","1.19%"
"Aug 13, 2020","3,320.73","3,328.18","3,338.15","3,309.46","32.43B","0.04%"
"Aug 12, 2020","3,319.27","3,327.49","3,335.73","3,263.27","37.83B","-0.63%"
"Aug 11, 2020","3,340.29","3,379.49","3,409.06","3,336.09","40.05B","-1.15%"
"Aug 10, 2020","3,379.25","3,341.53","3,399.93","3,335.04","38.14B","0.75%"
