"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 13, 2020","7,704.25","7,645.55","7,708.78","7,652.35","339.68M","0.77%"
"Aug 12, 2020","7,645.55","7,626.23","7,646.51","7,601.67","312.72M","0.25%"
"Aug 11, 2020","7,626.23","7,535.96","7,626.23","7,536.34","386.55M","1.20%"
"Aug 10, 2020","7,535.96","7,530.31","7,545.31","7,517.30","297.46M","0.08%"
"Aug 09, 2020","7,530.31","7,499.97","7,533.86","7,490.80","282.12M","0.40%"
