"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2020","6,126.20","6,091.00","6,139.10","6,091.00","734.64M","0.58%"
"Aug 13, 2020","6,091.00","6,132.00","6,157.30","6,075.80","871.59M","-0.67%"
"Aug 12, 2020","6,132.00","6,138.70","6,154.50","6,101.10","771.47M","-0.11%"
"Aug 11, 2020","6,138.70","6,110.20","6,186.10","6,110.20","714.14M","0.47%"
"Aug 10, 2020","6,110.20","6,004.80","6,125.30","6,004.80","640.57M","1.76%"
