Date,Price,Open,High,Low,Vol.,Change %
14-Aug-20,"20,028.11","20,159.07","20,185.11","19,821.07",296.29M,-1.13%
13-Aug-20,"20,257.31","20,383.46","20,471.63","20,257.31",314.36M,-0.88%
12-Aug-20,"20,437.36","20,172.42","20,463.34","20,150.65",372.88M,1.13%
11-Aug-20,"20,209.11","19,850.25","20,293.75","19,850.25",486.63M,2.84%
10-Aug-20,"19,651.57","19,569.97","19,668.04","19,454.47",251.84M,0.69%
