"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2020","23,289.36","23,323.92","23,338.79","23,222.85","598.15M","0.17%"
"Aug 13, 2020","23,249.61","23,123.36","23,316.69","23,111.50","848.23M","1.78%"
"Aug 12, 2020","22,843.96","22,747.44","22,874.37","22,670.74","907.65M","0.41%"
"Aug 11, 2020","22,750.24","22,505.51","22,760.87","22,497.07","993.22M","1.88%"
