"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2020","13,489.01","13,272.71","13,495.97","13,242.78","15.54B","1.49%"
"Aug 13, 2020","13,291.32","13,373.16","13,392.35","13,254.39","15.57B","-0.13%"
"Aug 12, 2020","13,308.52","13,437.57","13,471.82","13,026.01","18.64B","-1.17%"
"Aug 11, 2020","13,466.27","13,668.31","13,811.52","13,450.23","18.90B","-1.40%"
"Aug 10, 2020","13,657.31","13,576.32","13,752.29","13,453.95","18.78B","0.06%"
