"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 14, 2020","3,422.00","3,444.01","3,444.01","3,380.77","19.31M","-0.73%"
"Aug 13, 2020","3,447.14","3,449.27","3,466.54","3,443.48","20.18M","-0.57%"
"Aug 12, 2020","3,466.87","3,430.33","3,475.59","3,421.80","29.95M","0.97%"
"Aug 11, 2020","3,433.60","3,386.55","3,436.72","3,386.55","33.70M","2.33%"
"Aug 10, 2020","3,355.27","3,360.58","3,377.52","3,337.21","25.94M","0.45%"
